Unnamed: 0,scenario_id,title,description,category,listing_price,buyer_target,seller_target,outcome,accepted_price,transcript,prices,actions,transcript_display,bias,aggressiveness,fairness,dialogue_length,bias_cond_dialogue_length
0,09aea678-c5cd-4967-8a2f-b650f3520c55,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,phone,10.0,7.0,10.0,Accepted,10.0,"	Buyer: the verizon car charger with dual output micro usb
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <Verizon Car Charger with Dual Output Micro USB and LED Light>
      =================================================================================================
      	Buyer: the verizon car charger with dual output micro usb
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 10.0
      =================================================================================================
      ",-1.0,0.0,0.0,1,-1.0
1,e5cd53dc-424c-4197-8eb8-ed8861b19e0d,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,bike,200.0,120.0,200.0,Accepted,200.0,"	Buyer: i can go up to $190 considering the
	Seller: the item is rare and i have to say
","[-1.0, -1.0]","['counter', 'accept']","
      =================================================================================================
      Negotiation for: <Long board custom bilt from the board up>
      =================================================================================================
      	Buyer: i can go up to $190 considering the
	Seller: the item is rare and i have to say
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 200.0
      =================================================================================================
      ",-1.0,0.0,0.0,2,-0.5
2,02cfdc52-9530-4ac7-97fa-e4055cd0b6d0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,furniture,585.0,444.0,585.0,Accepted,500.0,"	Buyer: i am willing to go up to $550, considering
	Seller: i can do $500, but i
	Buyer: i am willing to pay $500 and willing
","[-1.0, -1.0, -1.0]","['counter', 'anchor', 'accept']","
      =================================================================================================
      Negotiation for: <Sectional Couch>
      =================================================================================================
      	Buyer: i am willing to go up to $550, considering
	Seller: i can do $500, but i
	Buyer: i am willing to pay $500 and willing
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 585.0
      =================================================================================================
      ",0.2056737588652482,0.1452991452991453,0.7943262411347518,3,0.0685579196217494
3,8ba14ae4-1de2-4551-9959-d95d54141be5,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",car,14500.0,8700.0,14500.0,Rejected,,"	Buyer: i'm willing to offer $2000
	Seller: i can do $180 given the
	Buyer: $1900.
	Seller: i can do $180 given the item
	Buyer: 
	Seller: i can do $180 given the
	Buyer: i can do $1850, considering the
	Seller: i can do $1900 given the item
	Buyer: we were thinking of getting it for $8000
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can do $1900 given
	Buyer: considering the scratches and the higher
	Seller: i can do $2000 given the
	Buyer: i can do $180 given
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', 'counter', 'counter', 'counter', '', 'counter', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', 'counter', 'counter']","
      =================================================================================================
      Negotiation for: <2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title>
      =================================================================================================
      	Buyer: i'm willing to offer $2000
	Seller: i can do $180 given the
	Buyer: $1900.
	Seller: i can do $180 given the item
	Buyer: 
	Seller: i can do $180 given the
	Buyer: i can do $1850, considering the
	Seller: i can do $1900 given the item
	Buyer: we were thinking of getting it for $8000
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can do $1900 given
	Buyer: considering the scratches and the higher
	Seller: i can do $2000 given the
	Buyer: i can do $180 given
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,
4,cbd117d3-ebb8-4b5d-9817-905e351a2368,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,furniture,125.0,95.0,125.0,Accepted,90.0,"	Buyer: i can accept $90
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo>
      =================================================================================================
      	Buyer: i can accept $90
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 125.0
      =================================================================================================
      ",1.3333333333333335,0.28,-0.33333333333333326,1,1.3333333333333335
5,15a0be73-0d95-4adb-9231-b3e0e0a687b3,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",electronics,75.0,69.0,75.0,Accepted,69.0,"	Buyer: $69.0 works for me.
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <Brand NEW SanDisk ULTRA MicroSDXC 200GB>
      =================================================================================================
      	Buyer: $69.0 works for me.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 75.0
      =================================================================================================
      ",1.0,0.08,0.0,1,1.0
6,69a2d2b0-e339-45bc-8e00-9ff69db0d124,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",electronics,220.0,132.0,220.0,Accepted,200.0,"	Buyer: i can offer $205, considering it
	Seller: i can do $190, but it
	Buyer: i can do $200, but
	Seller: <the agent's message>
	Buyer: $200 works for me. let's
","[-1.0, -1.0, -1.0, -1.0, -1.0]","['counter', 'counter', 'counter', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Bose Soundlink 3 brand new>
      =================================================================================================
      	Buyer: i can offer $205, considering it
	Seller: i can do $190, but it
	Buyer: i can do $200, but
	Seller: <the agent's message>
	Buyer: $200 works for me. let's
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 220.0
      =================================================================================================
      ",-0.5454545454545454,0.09090909090909091,0.4545454545454546,5,-0.10909090909090909
7,ff3d27d6-5a0d-4908-9df4-ecf8b2b279aa,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",phone,160.0,121.0,160.0,Accepted,140.0,"	Buyer: 
	Seller: i appreciate your research, but i can do $
	Buyer: $140.0 works for me.
","[-1.0, -1.0, -1.0]","['offer', 'counter', 'accept']","
      =================================================================================================
      Negotiation for: <Apple iPhone 5S 16gb Space Gray>
      =================================================================================================
      	Buyer: 
	Seller: i appreciate your research, but i can do $
	Buyer: $140.0 works for me.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 160.0
      =================================================================================================
      ",0.02564102564102555,0.125,0.9743589743589743,3,0.008547008547008517
8,8d7a36d0-3926-4ef7-be9d-b1dbee2b2d15,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,bike,600.0,456.0,600.0,Accepted,325.0,"	Buyer: i'll start with an offer of $
	Seller: i can do $325, but
	Buyer: i understand you can do $325, but the
	Seller: i see what you did there with the
	Buyer: i accept your offer of $200.0
","[-1.0, -1.0, -1.0, -1.0, -1.0]","['offer', 'counter', 'counter', 'counter', 'accept']","
      =================================================================================================
      Negotiation for: <Steel Frame Colnago>
      =================================================================================================
      	Buyer: i'll start with an offer of $
	Seller: i can do $325, but
	Buyer: i understand you can do $325, but the
	Seller: i see what you did there with the
	Buyer: i accept your offer of $200.0
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 600.0
      =================================================================================================
      ",2.8194444444444446,0.4583333333333333,-1.8194444444444446,5,0.5638888888888889
9,28281abc-4e98-4748-bab4-1e095d8d68bf,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",housing,2834.0,1700.0,2834.0,Accepted,2800.0,"	Buyer: i'd like to offer $2200,
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can offer $2400 given
	Buyer: <the agent's message>
	Seller: i can offer $2800, given the
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i understand your concern about the short
	Seller: i can offer $
	Buyer: $200 works for me. let's finalize
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Beautiful 1 Bedroom Home with Balcony Available Mid June!>
      =================================================================================================
      	Buyer: i'd like to offer $2200,
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can offer $2400 given
	Buyer: <the agent's message>
	Seller: i can offer $2800, given the
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i understand your concern about the short
	Seller: i can offer $
	Buyer: $200 works for me. let's finalize
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 2834.0
      =================================================================================================
      ",-0.9400352733686067,0.011997177134791814,0.059964726631393295,11,-0.08545775212441879
10,c497f40d-ef5a-4808-83f6-65762f2af59c,Travel Electrical Adaptor Connection Pack Adapter,"Features:,*Each adapter clearly labeled for easy identification.,*Selection guide makes adapter identification quick and easy,*Deluxe organizer case holds all adapters,*Mini-zipper case lets you carry just the adapters you need",electronics,15.0,13.0,15.0,Accepted,15.0,"	Buyer: <the agent's message>
	Seller: i can do $200 due to its high
	Buyer: $190 is too low.
	Seller: this item is priced competit
	Buyer: i can do $190,
	Seller: i can do $220, considering the item's premium
	Buyer: i accept your offer of $220
","[-1.0, 200.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['<offer|counter|accept|reject>', 'offer', 'counter', 'counter', 'counter', 'counter', 'accept']","
      =================================================================================================
      Negotiation for: <Travel Electrical Adaptor Connection Pack Adapter>
      =================================================================================================
      	Buyer: <the agent's message>
	Seller: i can do $200 due to its high
	Buyer: $190 is too low.
	Seller: this item is priced competit
	Buyer: i can do $190,
	Seller: i can do $220, considering the item's premium
	Buyer: i accept your offer of $220
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 200.0
      =================================================================================================
      ",-1.0,0.0,0.0,7,-0.14285714285714285
11,2a9d3e5b-434e-4175-8895-54f6a60f9569,Panasonic DVD Player,"Panasonic DVD Player: in excellent condition with no blemishes, scratches or dents. Looks and operates as if new.",electronics,55.0,41.0,55.0,Accepted,50.0,"	Buyer: <the agent's message>
	Seller: i can see why you
	Buyer: i can do $50 and that
	Seller: i can do $150 given
	Buyer: i can see why you'd want
	Seller: i can do $150 given the item's
	Buyer: <the agent's message>
	Seller: i can do $55 given the
	Buyer: i can do $50 and
	Seller: i can do $150 given the
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: 
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['<offer|counter|accept|reject>', 'anchor', 'counter', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Panasonic DVD Player>
      =================================================================================================
      	Buyer: <the agent's message>
	Seller: i can see why you
	Buyer: i can do $50 and that
	Seller: i can do $150 given
	Buyer: i can see why you'd want
	Seller: i can do $150 given the item's
	Buyer: <the agent's message>
	Seller: i can do $55 given the
	Buyer: i can do $50 and
	Seller: i can do $150 given the
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer:
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 55.0
      =================================================================================================
      ",-0.2857142857142857,0.09090909090909091,0.7142857142857143,13,-0.021978021978021976
12,aa477e27-290b-4db8-9f46-843710ac0ca6,Sol Republic Wireless Bluetooth Headphones,"A2 Sound Engines with clear highs and detailed deep bass,Super-Power Wireless - Control Tracks Air from up to 150 feet away",electronics,155.0,93.0,155.0,Accepted,145.0,"	Buyer: $145 works for me.
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <Sol Republic Wireless Bluetooth Headphones>
      =================================================================================================
      	Buyer: $145 works for me.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 155.0
      =================================================================================================
      ",-0.6774193548387097,0.06451612903225806,0.32258064516129037,1,-0.6774193548387097
13,004ae449-2c9c-4c29-b133-035ba955ff36,2010 camaro ss   on zl1 rims runs good 2018 tags clean title,selling my 2010 camaro ss  6.2L  auto and  maunal  runs good  120miles,car,14800.0,11248.0,14800.0,Accepted,14800.0,"	Buyer: i'll pass on the $200 offer.
	Seller: i can do $180 given the item
	Buyer: <the agent's message>
	Seller: i can do $180 given the
	Buyer: i can do $140 considering the mileage and
	Seller: <the agent's message>
	Buyer: i'll start with an offer below
	Seller: i can do $180 given the item
	Buyer: i'd like to offer $<price>
	Seller: <the agent's message>
	Buyer: 
	Seller: <the agent's message>
	Buyer: i'd like to buy a new car
	Seller: 
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', 'counter', '<offer|counter|accept|reject>', 'counter', 'offer', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', 'counter', '', '<offer|counter|accept|reject>', 'offer', 'accept']","
      =================================================================================================
      Negotiation for: <2010 camaro ss   on zl1 rims runs good 2018 tags clean title>
      =================================================================================================
      	Buyer: i'll pass on the $200 offer.
	Seller: i can do $180 given the item
	Buyer: <the agent's message>
	Seller: i can do $180 given the
	Buyer: i can do $140 considering the mileage and
	Seller: <the agent's message>
	Buyer: i'll start with an offer below
	Seller: i can do $180 given the item
	Buyer: i'd like to offer $<price>
	Seller: <the agent's message>
	Buyer: 
	Seller: <the agent's message>
	Buyer: i'd like to buy a new car
	Seller:
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 14800.0
      =================================================================================================
      ",-1.0,0.0,0.0,14,-0.07142857142857142
